number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,4,4,2,5,5,0.9301587301587303,0.03539158823605744,0.03578313191731771,0.03582744012366091,2.2666666666666666,0.7988086367179803,3.2666666666666666,0.4577377082170635,6.6,2.5579009251449016,0.8888888888888888,0.01413273811340332,0.0010936260223388672,1,3,3
32,1,4,2,5,15,0.9301587301587303,0.05048089654183902,0.024208895365397134,0.0253665471947013,1.0,0.0,2.8666666666666667,0.7432233529572065,2.8666666666666667,0.7432233529572065,0.9111111111111111,0.016092538833618164,0.001043558120727539,1,4,4
16,2,3,5,5,20,0.9206349206349207,0.05298558478706541,0.016275707880655924,0.011958538435105921,1.4,0.5070925528371101,2.1333333333333333,0.35186577527449836,2.933333333333333,1.0997835284835875,0.8444444444444444,0.009114265441894531,0.0010521411895751953,1,2,2
32,2,2,10,10,10,0.9142857142857144,0.07678340712665287,0.007926352818806966,0.008336450848651445,1.5333333333333334,0.5163977794943222,2.0,0.0,3.066666666666667,1.0327955589886444,0.8444444444444444,0.004512310028076172,0.0011587142944335938,1,2,2
32,2,4,10,10,5,0.9111111111111113,0.04716335247009642,0.00876024564107259,0.004305980102596028,1.4666666666666666,0.5163977794943222,2.7333333333333334,0.5936168397046636,3.8,1.5675276256394517,0.9111111111111111,0.005335569381713867,0.0,1,3,3
32,4,2,10,5,20,0.9111111111111112,0.05933075268371172,0.013733386993408203,0.005106205833502247,1.2666666666666666,0.4577377082170635,2.0,0.0,2.533333333333333,0.915475416434127,0.8222222222222222,0.008191108703613281,0.0013234615325927734,2,2,4
32,1,3,10,5,20,0.9079365079365082,0.060946711754493746,0.010513782501220703,0.003619792409460753,1.0,0.0,2.0,0.0,2.0,0.0,0.7555555555555555,0.007322072982788086,0.0,1,2,2
32,4,4,5,5,20,0.907936507936508,0.07734387739071835,0.029129489262898763,0.023955725879501084,1.2666666666666666,0.4577377082170635,2.1333333333333333,0.35186577527449836,2.6666666666666665,1.1751393027860062,0.9111111111111111,0.019260168075561523,0.001218557357788086,2,2,4
32,3,4,1,1,5,0.907936507936508,0.04918074090422116,0.010523033142089844,0.00635395720695621,1.6666666666666667,0.816496580927726,2.7333333333333334,0.5936168397046636,4.2,2.177810171446801,0.9111111111111111,0.002027750015258789,0.0009982585906982422,1,3,3
32,3,2,2,5,10,0.9079365079365079,0.09259367238329462,0.008913818995157878,0.005248022934983141,1.5333333333333334,0.5163977794943222,2.0,0.0,3.066666666666667,1.0327955589886444,0.9333333333333333,0.005999088287353516,0.0,2,2,4
