number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,3,2,1,1,5,0.985107934167294,0.015590705331197366,0.2894737243652344,0.06322911922034923,3.0,0.0,2.0,0.0,5.133333333333334,0.9154754164341271,0.9671862182116489,0.14779925346374512,0.06192469596862793,3,2,6
32,1,4,1,1,20,0.9777222353607348,0.00975363789455371,0.2595847129821777,0.05278623990239842,1.0,0.0,4.0,0.0,4.0,0.0,0.9692370795734209,0.131148099899292,0.06149458885192871,1,4,4
32,4,4,5,5,20,0.9733254708353363,0.019581243360481292,0.9564626534779866,0.3347255943329312,4.0,0.0,2.8,0.7745966692414833,8.066666666666666,1.9444671200491874,0.9425758818703855,0.47895193099975586,0.06369900703430176,4,4,8
32,4,3,10,10,15,0.9732656519613222,0.02595079966513738,0.5845611095428467,0.10759563392889489,4.0,0.0,2.533333333333333,0.5163977794943223,7.266666666666667,1.3870146083619752,0.9844134536505332,0.3032701015472412,0.06219363212585449,4,3,8
32,1,4,2,5,15,0.9719789021252961,0.011883133468756092,0.6815966447194417,0.09239192788218659,1.0,0.0,4.0,0.0,4.0,0.0,0.9606234618539786,0.6517717838287354,0.06211113929748535,1,4,4
32,2,4,1,1,10,0.9695742452182257,0.014596114685786903,0.554051399230957,0.1281539378416845,2.0,0.0,3.7333333333333334,0.45773770821706344,6.266666666666667,0.7037315505489967,0.9692370795734209,0.2872016429901123,0.06249213218688965,2,4,6
32,2,4,10,10,5,0.9695742452182257,0.014596114685786903,0.5416648546854655,0.11701442047333559,2.0,0.0,3.7333333333333334,0.45773770821706344,6.266666666666667,0.7037315505489967,0.9692370795734209,0.26225829124450684,0.06425333023071289,2,4,6
32,4,2,10,5,20,0.9691045562815226,0.023890795769058948,0.5523752530415853,0.18869533405016226,4.0,0.0,1.6,0.5070925528371101,4.666666666666667,0.6172133998483675,0.9716981132075472,0.2412095069885254,0.06207275390625,4,1,4
16,1,4,1,1,15,0.9671133245640203,0.012655514276804282,0.29363649686177573,0.05331272665703982,1.0,0.0,3.7333333333333334,0.5936168397046636,3.7333333333333334,0.5936168397046636,0.9692370795734209,0.1334519386291504,0.06377053260803223,1,4,4
32,3,3,5,2,20,0.9652350840529889,0.023618235108352807,0.9910614808400472,0.318947963387539,3.0,0.0,1.6,0.6324555320336759,3.6,0.6324555320336759,0.98318293683347,0.27847743034362793,0.06299400329589844,3,1,3
