max_depth,max_leaf_nodes,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,holdout_accuracy,holdout_n_nodes,holdout_depth,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,is_best_config
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
1,2,0.762912087912088,0.0032814052870273054,0.000527652104695638,3.0,0.0,1.0,0.0,0.76,3.0,1.0,0.0011138916015625,0.0,0.0,0.0,0.0,True
1,3,0.762912087912088,0.0032814052870273054,0.0004894892374674479,3.0,0.0,1.0,0.0,,,,,,,,,False
1,4,0.762912087912088,0.0032814052870273054,0.0007849693298339844,3.0,0.0,1.0,0.0,,,,,,,,,False
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,2,0.762912087912088,0.0032814052870273054,0.0005401611328125,3.0,0.0,1.0,0.0,,,,,,,,,False
2,3,0.7578021978021978,0.020624510599244524,0.000838009516398112,5.0,0.0,2.0,0.0,,,,,,,,,False
2,4,0.7565201465201468,0.020471384540661903,0.0007143815358479818,7.0,0.0,2.0,0.0,,,,,,,,,False
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,2,0.762912087912088,0.0032814052870273054,0.0006716728210449218,3.0,0.0,1.0,0.0,,,,,,,,,False
3,3,0.7578021978021978,0.020624510599244524,0.0009356498718261719,5.0,0.0,2.0,0.0,,,,,,,,,False
3,4,0.7603846153846152,0.021917978624663218,0.000532213846842448,7.0,0.0,3.0,0.0,,,,,,,,,False
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,2,0.762912087912088,0.0032814052870273054,0.0009356498718261719,3.0,0.0,1.0,0.0,,,,,,,,,False
4,3,0.7578021978021978,0.020624510599244524,0.0007485230763753255,5.0,0.0,2.0,0.0,,,,,,,,,False
4,4,0.7603846153846152,0.021917978624663218,0.0008135477701822917,7.0,0.0,3.0,0.0,,,,,,,,,False
