max_depth,max_leaf_nodes,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,holdout_accuracy,holdout_n_nodes,holdout_depth,holdout_train_time,holdout_pred_time,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,is_best_config
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
1,2,0.8954324894514768,0.028462714859849778,0.0009801546732584635,3.0,0.0,1.0,0.0,,,,,,,,,False
1,3,0.8954324894514768,0.028462714859849778,0.0010739485422770181,3.0,0.0,1.0,0.0,,,,,,,,,False
1,4,0.8954324894514768,0.028462714859849778,0.0009983857472737631,3.0,0.0,1.0,0.0,,,,,,,,,False
2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
2,2,0.8954324894514768,0.028462714859849778,0.001795371373494466,3.0,0.0,1.0,0.0,,,,,,,,,False
2,3,0.9255801687763713,0.02847126337278231,0.0010905742645263671,5.0,0.0,2.0,0.0,,,,,,,,,False
2,4,0.9280801687763713,0.02700140907053567,0.001312557856241862,7.0,0.0,2.0,0.0,0.9415204678362573,7.0,2.0,0.0021698474884033203,0.0,2.0,2.0,4.0,True
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
3,2,0.8954324894514768,0.028462714859849778,0.0017544110616048178,3.0,0.0,1.0,0.0,,,,,,,,,False
3,3,0.9255801687763713,0.02847126337278231,0.0019197463989257812,5.0,0.0,2.0,0.0,,,,,,,,,False
3,4,0.9247468354430379,0.025596212724915062,0.0021003087361653647,7.0,0.0,2.1333333333333333,0.3399346342395189,,,,,,,,,False
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
4,2,0.8954324894514768,0.028462714859849778,0.0015938282012939453,3.0,0.0,1.0,0.0,,,,,,,,,False
4,3,0.9255801687763713,0.02847126337278231,0.001633024215698242,5.0,0.0,2.0,0.0,,,,,,,,,False
4,4,0.9247468354430379,0.025596212724915062,0.002067311604817708,7.0,0.0,2.1333333333333333,0.3399346342395189,,,,,,,,,False
