model,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_lines_per_partition,number_quantiles_ordinal_columns,balance_instances,balance_instances_seed,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,holdout_train_time,holdout_pred_time
IMLIB,3.0,1.0,1.0,2.0,32.0,5.0,True,21.0,0.9841713900906764,0.003591574691417775,0.21480620702107747,3.0,0.0,1.0,0.0,3.0,0.0,0.9876948318293683,3,1,3,0.14121603965759277,0.046135663986206055
I-IMLIB,,,,,,,,,,,,,,,,,,0.9876948318293683,3,1,3,0.24640846252441406,0.04709887504577637
DI-IMLIB,,,,,,,,,,,,,,,,,,0.0,0,0,0,0.0,0.0
