model,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_lines_per_partition,number_quantiles_ordinal_columns,balance_instances,balance_instances_seed,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,holdout_train_time,holdout_pred_time
IMLIB,1.0,4.0,5.0,2.0,32.0,5.0,True,21.0,0.7783895620495762,0.021300715947398904,0.18526887893676758,1.0,0.0,1.0666666666666667,0.24944382578492946,1.0666666666666667,0.24944382578492946,0.7837150127226463,1,1,1,0.051422119140625,0.0030372142791748047
I-IMLIB,,,,,,,,,,,,,,,,,,0.7837150127226463,1,1,1,0.06676816940307617,0.004017829895019531
DI-IMLIB,,,,,,,,,,,,,,,,,,0.7837150127226463,1,1,1,0.08337020874023438,0.003364086151123047
