model,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_lines_per_partition,number_quantiles_ordinal_columns,balance_instances,balance_instances_seed,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_num_rules,holdout_larger_rule,holdout_sum_literals,holdout_train_time,holdout_pred_time
IMLIB,1.0,4.0,5.0,2.0,32.0,5.0,True,21.0,0.8160000000000001,0.018726095873584158,0.315470027923584,1.0,0.0,1.4666666666666666,0.4988876515698588,1.4666666666666666,0.4988876515698588,0.8251748251748252,1,1,1,0.1605987548828125,0.00799703598022461
I-IMLIB,,,,,,,,,,,,,,,,,,0.8251748251748252,1,1,1,0.19106554985046387,0.008616924285888672
DI-IMLIB,,,,,,,,,,,,,,,,,,0.8251748251748252,1,1,1,0.19956159591674805,0.008113861083984375
