number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
32,3,4,1,1,10,0.8334215167548501,0.06000574753301646,0.0661102294921875,2.2666666666666666,0.7988086367179803,1.6,0.5070925528371101,3.466666666666667,1.8464895909600494,0.7966101694915254,2,2,3
32,3,4,1,1,5,0.8330687830687832,0.03757372199420912,0.025521357854207356,2.0,0.7559289460184544,1.4,0.50709255283711,2.533333333333333,1.3020130933435712,0.864406779661017,3,2,4
32,2,4,10,10,5,0.8330687830687832,0.04009672983454182,0.023195854822794595,1.7333333333333334,0.4577377082170635,1.4,0.50709255283711,2.2,0.9411239481143204,0.864406779661017,2,2,3
32,2,4,1,1,10,0.830952380952381,0.06467235643941517,0.05631033579508463,1.8,0.41403933560541256,1.6,0.5070925528371101,2.6666666666666665,1.0465362369445672,0.7966101694915254,2,2,3
32,3,2,1,1,5,0.8234567901234567,0.07406878737928052,0.010857534408569337,2.466666666666667,0.5163977794943223,1.2,0.41403933560541256,2.7333333333333334,0.7988086367179803,0.7966101694915254,1,2,2
32,4,3,10,10,15,0.8186948853615521,0.08330853430490609,0.06820494333902995,1.4666666666666666,0.833809387832792,1.4666666666666666,0.5163977794943222,2.066666666666667,1.5337473561121315,0.847457627118644,1,1,1
32,4,2,10,5,20,0.8137566137566138,0.05456638371595109,0.059096908569335936,1.8,0.6761234037828133,1.0,0.0,1.8,0.6761234037828133,0.8305084745762712,2,1,2
16,1,4,5,2,20,0.8137566137566138,0.0578093566710172,0.07751186688741048,1.0,0.0,1.0,0.0,1.0,0.0,0.8305084745762712,1,1,1
32,4,4,2,5,5,0.8134038800705469,0.04824602639599268,0.25137826601664226,2.0,0.9258200997725514,2.2,0.8618916073713346,3.8666666666666667,2.53170373652286,0.8135593220338984,2,4,6
32,3,2,2,5,10,0.811199294532628,0.07105749378630735,0.12238939603169759,1.8,0.6761234037828133,1.9333333333333333,0.25819888974716115,3.3333333333333335,1.3451854182690983,0.8305084745762712,2,2,4
