number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,1,1,2,1,20,0.7602292768959436,0.07434095553639793,0.012589724858601888,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,10,5,0.7895061728395061,0.07476072433756119,0.006736071904500326,1.9333333333333333,0.2581988897471611,1.0,0.0,1.9333333333333333,0.2581988897471611
8,4,1,5,2,10,0.7648148148148148,0.04297618844056204,0.008364041646321615,1.8666666666666667,0.5163977794943223,1.0,0.0,1.8666666666666667,0.5163977794943223
8,1,2,5,10,15,0.6768959435626102,0.12448374745496356,0.026649681727091472,1.0,0.0,1.6,0.50709255283711,1.6,0.50709255283711
32,2,1,2,10,15,0.7992063492063493,0.07365650037404096,0.02090617815653483,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101
8,1,2,10,5,20,0.7254850088183422,0.12943170857265257,0.04253904024759928,1.0,0.0,1.0,0.0,1.0,0.0
32,4,2,10,1,20,0.7993827160493828,0.06683058429485104,0.051604239145914714,2.1333333333333333,0.7432233529572065,1.0,0.0,2.1333333333333333,0.7432233529572065
8,4,2,5,10,20,0.7622574955908289,0.09016700178049156,0.07977325121561686,2.2666666666666666,1.0997835284835875,1.6666666666666667,0.48795003647426666,3.066666666666667,1.533747356112131
8,2,3,10,10,10,0.7721340388007055,0.10803551449526641,0.02564239501953125,1.8,0.41403933560541256,1.0666666666666667,0.25819888974716115,1.8666666666666667,0.5163977794943223
16,4,4,5,2,10,0.7936507936507938,0.06920512699413801,0.0522281010945638,2.0,0.6546536707079771,1.0,0.0,2.0,0.6546536707079771
8,1,2,10,5,10,0.7057319223985892,0.1563717355156265,0.015301958719889323,1.0,0.0,1.0,0.0,1.0,0.0
8,2,1,5,5,10,0.7676366843033511,0.08353953939299626,0.010477860768636068,1.8666666666666667,0.3518657752744984,1.0,0.0,1.8666666666666667,0.3518657752744984
8,2,2,5,2,20,0.7450617283950618,0.032804943953149604,0.05215927759806315,1.8666666666666667,0.3518657752744984,1.0,0.0,1.8666666666666667,0.3518657752744984
32,4,2,10,5,20,0.8137566137566138,0.05456638371595109,0.059096908569335936,1.8,0.6761234037828133,1.0,0.0,1.8,0.6761234037828133
32,3,2,5,1,10,0.8064373897707232,0.05258228661874498,0.018753210703531902,1.9333333333333333,0.7988086367179803,1.0,0.0,1.9333333333333333,0.7988086367179803
8,2,1,2,1,20,0.7574074074074075,0.033052906241556566,0.024277782440185545,1.7333333333333334,0.4577377082170635,1.0,0.0,1.7333333333333334,0.4577377082170635
32,3,2,2,5,10,0.811199294532628,0.07105749378630735,0.12238939603169759,1.8,0.6761234037828133,1.9333333333333333,0.25819888974716115,3.3333333333333335,1.3451854182690983
16,4,2,2,5,15,0.7649029982363316,0.06825680022093551,0.04520848592122396,1.8666666666666667,0.7432233529572065,1.8,0.4140393356054126,2.8666666666666667,0.990430401872025
8,1,1,10,5,10,0.7873015873015873,0.09486231187703388,0.00406953493754069,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,10,15,0.7029982363315698,0.12381572825682799,0.01826896667480469,1.0,0.0,1.0,0.0,1.0,0.0
32,4,4,5,5,20,0.7963844797178131,0.06552525831681168,0.13579754829406737,2.466666666666667,0.9154754164341269,1.5333333333333334,0.5163977794943222,3.2,1.2649110640673518
8,2,2,5,5,10,0.7771604938271606,0.04802898074563179,0.02115147908528646,1.8666666666666667,0.3518657752744984,1.0666666666666667,0.25819888974716115,1.9333333333333333,0.4577377082170634
