max_depth,max_leaf_nodes,number_quantiles_ordinal_columns,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_n_nodes,cv_std_n_nodes,cv_mean_depth,cv_std_depth,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals,holdout_accuracy,holdout_train_time,holdout_pred_time,holdout_n_nodes,holdout_depth,holdout_num_rules,holdout_larger_rule,holdout_sum_literals
3,4,10,0.7480269989615784,0.030153014321477753,0.0004305839538574219,0.0005582602903810917,7.0,0.0,2.8,0.4140393356054125,4.0,0.0,2.8,0.4140393356054125,8.8,0.41403933560541256,0.6623376623376623,0.0009984970092773438,0.0,7,3,4,3,9
4,4,10,0.7480269989615784,0.030153014321477753,0.0009744167327880859,0.0004321175722589177,7.0,0.0,2.8,0.4140393356054125,4.0,0.0,2.8,0.4140393356054125,8.8,0.41403933560541256,0.6623376623376623,0.0,0.0009982585906982422,7,3,4,3,9
3,3,10,0.7418195454020999,0.03310721991692994,0.0008043766021728516,0.0004578462346019423,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.7056277056277056,0.0012903213500976562,0.0,5,2,3,2,5
2,3,10,0.7418195454020999,0.03310721991692994,0.0006979624430338542,0.0004536007465803842,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.7056277056277056,0.0,0.001291036605834961,5,2,3,2,5
4,3,10,0.7418195454020999,0.03310721991692994,0.0005834102630615234,0.0006915943786306876,5.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.7056277056277056,0.0,0.0009980201721191406,5,2,3,2,5
2,4,10,0.7381043036806275,0.028032038449593448,0.000699933369954427,0.00045505178306545665,7.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,8.0,0.0,0.7056277056277056,0.0,0.0,7,2,4,2,8
1,2,10,0.7380812276450908,0.0375317357917793,0.000586843490600586,0.0005184060119007558,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.7056277056277056,0.0,0.0,3,1,2,1,2
1,3,10,0.7380812276450908,0.0375317357917793,0.0005183855692545573,0.0005239240504124275,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.7056277056277056,0.0011363029479980469,0.0,3,1,2,1,2
4,2,10,0.7380812276450908,0.0375317357917793,0.0008300145467122396,0.0005537116334125428,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.7056277056277056,0.00099945068359375,0.0,3,1,2,1,2
3,2,10,0.7380812276450908,0.0375317357917793,0.0005970478057861328,0.0005371872642049605,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.7056277056277056,0.0,0.0011322498321533203,3,1,2,1,2
